geoid,threshold,tot_jobs
530330013003021,30,25139
530330014001000,30,16126
530330014001001,30,16028
530330014001002,30,16706
530330014001003,30,19993
530330014001004,30,18611
530330014001005,30,16162
530330014001006,30,16281
530330014001007,30,16112
530330014001008,30,15485
530330014001009,30,18873
530330014001010,30,15195
530330014001011,30,18174
530330014001012,30,23215
530330014001013,30,20845
530330014001014,30,19141
530330014001015,30,18362
530330014001016,30,15548
530330014001017,30,18876
530330014002000,30,21097
530330014002001,30,20512
530330014002002,30,20556
530330014002003,30,27012
530330014002004,30,24294
530330014002005,30,21512
530330014002006,30,20422
530330014002007,30,20954
530330014002008,30,16232
530330014002009,30,14550
530330014002010,30,12006
530330014002011,30,23498
530330014002012,30,24132
530330014002013,30,25942
530330014002014,30,27926
530330014002015,30,30712
530330014002016,30,25481
530330014002017,30,23887
530330014002018,30,26739
530330014003000,30,29584
530330014003001,30,29617
530330014003002,30,37460
530330014003003,30,19359
530330014003004,30,24800
530330014003005,30,19624
530330014003006,30,28890
530330014003007,30,36788
530330014003008,30,38050
530330014003009,30,39118
530330014003010,30,25943
530330014003011,30,29472
530330014003012,30,28727
530330014003013,30,21860
530330014004000,30,2301
530330014004001,30,6540
530330014004002,30,4141
530330014004003,30,5873
530330014004005,30,12027
530330014004006,30,9310
530330014004007,30,8613
530330014004008,30,5071
530330014004009,30,17475
530330014004010,30,20361
530330014004011,30,17641
530330014004012,30,20237
530330014004013,30,14794
530330014004014,30,13619
530330014004015,30,17401
530330014004016,30,29904
530330014004017,30,28991
530330014004018,30,27323
530330014004019,30,17326
530330014004020,30,22519
530330014004021,30,26290
530330015001000,30,6889
530330015001001,30,5872
530330015001002,30,6818
530330015001003,30,7683
530330015001004,30,6854
530330015001005,30,4501
530330015001006,30,6049
530330015001007,30,6153
530330015001008,30,6582
530330015001009,30,6241
530330015001010,30,6343
530330015001011,30,5244
530330015001012,30,6625
530330015001013,30,5772
530330015001014,30,5623
530330015001015,30,4866
530330015001016,30,14214
530330015001017,30,19365
530330015001018,30,24626
530330015001019,30,15621
530330015001020,30,19522
530330015001021,30,17041
530330015001022,30,13287
530330015002000,30,4386
530330015002002,30,6137
530330015002003,30,4692
530330015002004,30,10184
530330015002005,30,6914
530330015002006,30,7058
530330015002007,30,7922
530330015002008,30,12516
530330015002009,30,18977
530330015002010,30,6742
530330015002011,30,12976
530330015002012,30,16313
530330015002013,30,17002
530330015002014,30,10815
530330015002015,30,15552
530330015002016,30,11104
530330015002017,30,1464
530330015002018,30,9596
530330016001000,30,2895
530330016001003,30,3312
530330016001004,30,3592
530330016001005,30,6926
530330016001006,30,4363
530330016001007,30,4585
530330016001008,30,4764
530330016001009,30,9166
530330016001010,30,4124
530330016001011,30,5983
530330016001012,30,5193
530330016001013,30,6052
530330016001014,30,11801
530330016001015,30,18031
530330016001016,30,16530
530330016001017,30,5058
530330016001018,30,6384
530330016001019,30,2650
530330016001020,30,5188
530330016001021,30,9263
530330016002000,30,10547
530330016002001,30,7708
530330016002002,30,5309
530330016002003,30,6008
530330016002004,30,5884
530330016002005,30,5191
530330016002006,30,10867
530330016002007,30,8887
530330016002008,30,11645
530330016002009,30,9226
530330016002010,30,7594
530330016002011,30,8466
530330016002012,30,6983
530330016002013,30,6920
530330016002014,30,10586
530330016002015,30,14061
530330016002016,30,13802
530330016002017,30,12000
530330016002018,30,7504
530330016002019,30,14928
