"GEOID","NAME","variable","estimate","moe","pct100","pct149","pct150","universe","white","black","asian","hispuniverse","hisp","pctWht","pctBlk","pctAsn","pctHisp","pluWht","pluBlk","pluAsn","pluHisp","loginc","pctOwn","medAge","logHousVal","thouHousVal","medRent","logMedRent"
"34001010501","Census Tract 105.01, Atlantic County, New Jersey","B01001_001",7084,424,2.04323363932484,6.92922712466686,91.0275392360083,7084,6248,372,100,7084,673,0.881987577639752,0.0525127046866177,0.0141163184641446,0.0950028232636928,1,0,0,0,10.3084525356026,86.5934797072522,30,12.31850807486,223.8,1219,7.10578612948127
"34001010503","Census Tract 105.03, Atlantic County, New Jersey","B01001_001",8043,601,7.5619295958279,12.51629726206,79.9217731421121,8043,4248,2392,590,8043,1693,0.528161133905259,0.297401467114261,0.0733557130423971,0.210493596916573,1,0,0,0,10.1624228679484,47.2865651886168,32,12.1079083967429,181.3,1220,7.1066061377273
"34001010505","Census Tract 105.05, Atlantic County, New Jersey","B01001_001",2543,184,0.210378681626928,5.53997194950912,94.249649368864,2543,2158,67,208,2543,280,0.848604011010617,0.026346834447503,0.0817931576877703,0.11010617381046,1,0,0,0,10.3401605877685,91.3773796192609,37,12.2802520437044,215.4,695,6.54391184556479
"34001010506","Census Tract 105.06, Atlantic County, New Jersey","B01001_001",5334,369,2.0746887966805,4.94153149754809,92.9837797057714,5334,3897,345,579,5334,514,0.730596175478065,0.0646794150731159,0.108548931383577,0.0963629546306712,1,0,0,0,10.3771718996214,85.2585258525853,39,12.2972835255836,219.1,1184,7.07665381544395
"34001010600","Census Tract 106, Atlantic County, New Jersey","B01001_001",4243,36,8.09307030854831,10.7233181588265,81.1836115326252,4243,2390,613,198,4243,1565,0.563280697619609,0.144473250058921,0.0466650954513316,0.368842799905727,1,0,0,0,10.1380852538955,55.547703180212,71,11.944058319827,153.9,1007,6.91473089271856
"34001010700","Census Tract 107, Atlantic County, New Jersey","B01001_001",6122,28,4.03571428571429,1.75,94.2142857142857,6122,5287,346,2,6122,828,0.863606664488729,0.0565174779483829,0.000326690623979092,0.135249918327344,1,0,0,0,10.5847139622004,94.9866903283052,46,12.246254435163,208.2,1279,7.15383380157884
"34001010800","Census Tract 108, Atlantic County, New Jersey","B01001_001",3209,245,4.29242119382964,5.700871898055,90.0067069081154,3209,2650,136,48,3209,502,0.825802430663758,0.0423808039887816,0.01495793081957,0.156435026488003,1,0,0,0,10.0171733169399,66.0899653979239,47,12.3194013308372,224,1295,7.16626597413364
"34001010900","Census Tract 109, Atlantic County, New Jersey","B01001_001",5943,319,4.5766590389016,2.89855072463768,92.5247902364607,5943,4989,290,10,5943,1249,0.839475012619889,0.0487969039205788,0.0016826518593303,0.210163217230355,1,0,0,0,10.1965675300495,68.4510750329092,48,12.4371843664936,252,1020,6.92755790627832
"34001011000","Census Tract 110, Atlantic County, New Jersey","B01001_001",2566,225,2.7681660899654,5.1038062283737,92.1280276816609,2566,2197,41,121,2566,420,0.856196414653157,0.0159781761496493,0.0471551052221356,0.163678877630553,1,0,0,0,10.37001640172,82.4858757062147,46,12.4634243681741,258.7,1097,7.00033446027523
"34001011100","Census Tract 111, Atlantic County, New Jersey","B01001_001",2912,295,7.38636363636364,1.42045454545455,91.1931818181818,2912,2483,83,0,2912,638,0.852678571428571,0.0285027472527473,0,0.219093406593407,1,0,0,0,10.379348991266,70.7292707292707,47,12.2005574648421,198.9,1502,7.31455283232408
"34001011201","Census Tract 112.01, Atlantic County, New Jersey","B01001_001",1859,146,2.0935960591133,2.21674876847291,95.6896551724138,1859,1630,124,22,1859,141,0.876815492200108,0.0667025282409898,0.0118343195266272,0.0758472296933835,1,0,0,0,10.3763308959742,92.8571428571429,45,12.1626430876028,191.5,1375,7.22620901010067
"34001011202","Census Tract 112.02, Atlantic County, New Jersey","B01001_001",7524,19,9.46411783140081,4.10529614540896,86.4305860231902,7524,5990,704,194,7524,1005,0.79611908559277,0.0935672514619883,0.0257841573631047,0.133572567783094,1,0,0,0,10.3337428294515,82.4309392265193,49,12.1259466010509,184.6,1241,7.12367278520461
"34001011300","Census Tract 113, Atlantic County, New Jersey","B01001_001",4534,22,5.25707683419988,9.8209127671866,84.9220103986135,4534,3304,229,7,4534,1531,0.728716365240406,0.0505072783414204,0.00154389060432289,0.337670930745479,1,0,0,0,10.1435668805565,59.0262582056893,55,12.0895388292742,178,823,6.71295620067707
"34001011401","Census Tract 114.01, Atlantic County, New Jersey","B01001_001",4383,292,1.47465437788018,3.17972350230415,95.3456221198157,4383,3929,139,61,4383,593,0.896417978553502,0.0317134382842802,0.0139174081679215,0.135295459730778,1,0,0,0,10.4595255191237,91.1899313501144,40,12.3054653894082,220.9,1295,7.16626597413364
"34001011403","Census Tract 114.03, Atlantic County, New Jersey","B01001_001",5788,732,10.3708170033163,2.77359059391016,86.8555924027736,5788,2149,1689,963,5788,977,0.371285418106427,0.291810642709053,0.166378714581894,0.168797512093988,1,0,0,0,10.3496466469718,44.031954887218,36,11.7775947631129,130.3,1422,7.25981961036319
"34001011404","Census Tract 114.04, Atlantic County, New Jersey","B01001_001",10157,638,5.79220193824656,3.56096461573135,90.6468334460221,10157,6225,1947,869,10157,1462,0.612877818253421,0.191690459781432,0.0855567588854977,0.143940139805061,1,0,0,0,10.1802856083858,72.0923913043478,24,12.1495022940418,189,1239,7.12205988162914
"34001011500","Census Tract 115, Atlantic County, New Jersey","B01001_001",6434,532,1.67441860465116,1.51937984496124,96.8062015503876,6434,5112,562,452,6434,771,0.794529064345664,0.0873484612993472,0.0702517873795462,0.119832141746969,1,0,0,0,10.3795043165952,85.3122251539138,44,12.2370866990593,206.3,1183,7.07580886397839
"34001011600","Census Tract 116, Atlantic County, New Jersey","B01001_001",4935,159,4.67756584922797,3.3605812897366,91.9618528610354,4935,4509,269,64,4935,236,0.913677811550152,0.0545086119554205,0.0129685916919959,0.0478216818642351,1,0,0,0,10.3089526606443,90.650406504065,34,12.0956995880488,179.1,1154,7.05098944706805
"34001011701","Census Tract 117.01, Atlantic County, New Jersey","B01001_001",9028,564,8.79596250901226,4.54217736121125,86.6618601297765,9028,3936,1266,2338,9028,1838,0.435976960567124,0.140230394328755,0.258972086840939,0.203588834736376,1,0,0,0,10.1876885731513,79.6343692870201,26,12.1668119315769,192.3,1011,6.91869521902047
"34001011702","Census Tract 117.02, Atlantic County, New Jersey","B01001_001",3269,307,10.935441370224,5.73122529644269,83.3333333333333,3269,1440,709,432,3269,1022,0.440501682471704,0.216885897828082,0.132150504741511,0.312633832976445,1,0,0,0,10.0178424967735,75.3648068669528,46,11.5721373246021,106.1,977,6.88448665204278
"34001011802","Census Tract 118.02, Atlantic County, New Jersey","B01001_001",16535,725,2.45798846250314,3.11010785051417,94.4319036869827,16535,12954,1046,1592,16535,2285,0.783429089809495,0.0632597520411249,0.0962806168732991,0.138191714544905,1,0,0,0,10.4697100395224,96.3555726957192,17,12.4219901517526,248.2,1406,7.24850407237061
"34001011803","Census Tract 118.03, Atlantic County, New Jersey","B01001_001",4816,396,5.94390958560067,6.15320217664295,87.9028882377564,4816,3167,486,375,4816,1275,0.657599667774086,0.100913621262458,0.0778654485049834,0.264742524916944,1,0,0,0,10.3216056067676,70.3896103896104,32,12.1340394426303,186.1,919,6.82328612235569
"34001011804","Census Tract 118.04, Atlantic County, New Jersey","B01001_001",7042,511,1.06124924196483,0.848999393571862,98.0897513644633,7042,6278,13,252,7042,572,0.891508094291394,0.0018460664583925,0.0357852882703777,0.0812269241692701,1,0,0,0,10.360722508129,92.7821522309711,39,12.3335859658291,227.2,1524,7.32909373624659
"34001011805","Census Tract 118.05, Atlantic County, New Jersey","B01001_001",2038,200,10.3921568627451,0.490196078431373,89.1176470588235,2038,1619,135,46,2038,156,0.794406280667321,0.0662414131501472,0.0225711481844946,0.0765456329735034,1,0,0,0,10.3671272246954,93.8028169014084,33,12.3762372720535,237.1,1288,7.1608459066643
"34001011900","Census Tract 119, Atlantic County, New Jersey","B01001_001",8363,588,7.62370540851554,12.6582278481013,79.7180667433832,8363,2284,4526,80,8363,2628,0.273107736458209,0.541193351668062,0.00956594523496353,0.314241300968552,0,1,0,0,9.88379491919039,44.6563512054696,47,12.0323143193967,168.1,1190,7.08170858610557
"34001012000","Census Tract 120, Atlantic County, New Jersey","B01001_001",4612,424,10.5137963843958,18.9343482397716,70.5518553758325,4612,2146,1395,400,4612,2013,0.465307892454467,0.302471812662619,0.0867302688638335,0.436470078057242,1,0,0,0,9.92671567865533,64.7868852459016,56,11.8379033221657,138.4,1163,7.05875815251866
"34001012100","Census Tract 121, Atlantic County, New Jersey","B01001_001",3148,280,16.3265306122449,13.2301196340605,70.4433497536946,3148,1892,608,120,3148,1809,0.601016518424396,0.193138500635324,0.0381194409148666,0.574650571791614,1,0,0,0,9.86723841986101,52.625937834941,61,11.8350089641393,138,1235,7.11882624906208
